unitid,hospital.name,year,HD2013.City.location.of.hospital,HD2013.ZIP.code,HD2013.Longitude.location.of.hospital,HD2013.Latitude.location.of.hospital,IC2013.Patients.total,IC2013.Number.of.first.time.patients.who.recieved.health.services,IC2013.Percent.of.first.time.patients.who.recieved.health.services,DRVIC2013.Percent.admitted...total,DRVIC2013.Percent.admitted...men,DRVIC2013.Percent.admitted...women,DRVIC2013.Admissions.yield...full.time,DRVIC2013.Hospital.monthly.expenses..2013.14,HD2013.State.abbreviation,DRVEF122013.12.month.full.time.equivalent.enrollment..2012.13,state.x,city.x,zipcode,rank,centile,superzip,adultpop,treatment,income,latitude,longitude
101453,NA,2013,bichi,35630-9977,12.347,8.150,NA,NA,NA,NA,NA,NA,NA,9792,kano,53,AL,bichi,101453,NA,9792,NA,53,NA,NA,12.347,8.150
101480,Dalal Clinic,2013,gwarzo,36265,11.835,7.950,3083,203,89,83,83,83,44,7092,kano,7566,AL,gwarzo,101480,44,7092,0,7566,83,3083,11.835,7.950
101541,RUGAR JABE DISPENSARY,2013,bindawa,36756,12.674,7.889,268,7,94,74,NA,74,34,15630,katsina,343,AL,bindawa,101541,34,15630,0,343,74,268,12.674,7.889
101587,BAURE PHC,2013,bindawa,35470,12.772,7.882,462,0,100,100,99,100,81,7660,katsina,3394,AL,bindawa,101587,81,7660,0,3394,100,462,12.772,7.882
101675,Shekewa Dispensary,2013,batsari,35064-2621,12.883,7.193,NA,NA,NA,NA,NA,NA,NA,11454,katsina,1681,AL,batsari,101675,NA,11454,NA,1681,NA,NA,12.883,7.193
101693,Maternity Health Clinic,2013,gashaka,36613-2842,7.712,11.480,866,33,87,71,75,69,42,18690,taraba,1434,AL,gashaka,101693,42,18690,0,1434,71,866,7.712,11.480
101709,LAWILTU DISPENSARY,2013,billiri,35115-6000,9.962,11.215,1385,16,96,87,90,86,43,10000,gombe,2826,AL,billiri,101709,43,10000,0,2826,87,1385,9.962,11.215
101879,Gabarin HC,2013,darazo,35632-0001,11.115,10.439,2542,32,96,81,81,81,46,7078,bauchi,5886,AL,darazo,101879,46,7078,0,5886,81,2542,11.115,10.439
101912,Dayi dispensary,2013,darazo,35896,10.887,10.358,2728,194,58,34,46,30,44,16234,bauchi,1824,AL,darazo,101912,44,16234,0,1824,34,2728,10.887,10.358
102049,General Hospital Darazo,2013,darazo,35229-2240,10.995,10.409,3447,278,84,77,73,79,28,26328,bauchi,4869,AL,darazo,102049,28,26328,0,4869,77,3447,10.995,10.409
102058,G/Goje Dispensary,2013,batsari,36701,12.853,7.334,NA,NA,NA,NA,NA,NA,NA,5840,katsina,463,AL,batsari,102058,NA,5840,NA,463,NA,NA,12.853,7.334
102094,Cliinic C,2013,,36688-0002,10.228,12.928,4814,158,92,86,84,88,44,6948,Adamawa,13842,AL,,102094,44,6948,0,13842,86,4814,10.228,12.928
102234,Onyemaechi Maternity,2013,,36608-1791,5.108,7.346,6596,88,92,46,49,45,14,30924,Abia,1293,AL,,102234,14,30924,0,1293,46,6596,5.108,7.346
102261,St Anthony Hospital LTD,2013,,35224-2083,5.101,7.379,26,0,59,96,100,94,64,11370,Abia,149,AL,,102261,64,11370,0,149,96,26,5.101,7.379
102270,Umuogele PHC,2013,,35403,5.079,7.377,4121,16,59,43,40,45,13,15901,Abia,940,AL,,102270,13,15901,0,940,43,4121,5.079,7.377
102298,Marc Rose Hospital,2013,,35160,5.088,7.378,NA,NA,NA,NA,NA,NA,NA,11492,Abia,542,AL,,102298,NA,11492,NA,542,NA,NA,5.088,7.378
102368,St Michael Medical Centre,2013,kosofe,36082-0001,6.600,3.400,5946,146,38,68,66,70,36,7276,lagos,16173,AL,kosofe,102368,36,7276,0,16173,68,5946,6.600,3.400
102377,ROJAFIA CLINIC,2013,kosofe,36088-1920,6.593,3.398,10022,277,75,35,34,36,18,18900,lagos,3085,AL,kosofe,102377,18,18900,0,3085,35,10022,6.593,3.398
102395,Inland Specialist,2013,kosofe,36526-7055,6.586,3.398,NA,NA,NA,NA,NA,NA,NA,NA,lagos,346,AL,kosofe,102395,NA,NA,NA,346,NA,NA,6.586,3.398
102553,St Anthony Clinic,2013,kosofe,99508,6.597,3.388,NA,NA,NA,NA,NA,NA,NA,5147,lagos,12483,AK,kosofe,102553,NA,5147,NA,12483,NA,NA,6.597,3.388
102580,PHC BaÃ¢Â€Â˜al,2013,qua,99645,8.925,9.251,NA,NA,NA,NA,NA,NA,NA,9200,plateau,28,AK,qua,102580,NA,9200,NA,28,NA,NA,8.925,9.251
102614,PHC Ajaruwa-Eke,2013,dekina,99775-7500,7.623,7.112,NA,NA,NA,NA,NA,NA,NA,4984,kogi,6397,AK,dekina,102614,NA,4984,NA,6397,NA,NA,7.623,7.112
102632,MPHC,2013,buruku,99801-8697,7.297,9.209,NA,NA,NA,NA,NA,NA,NA,5693,benue,1935,AK,buruku,102632,NA,5693,NA,1935,NA,NA,7.297,9.209
102669,Oguntoye Houspital,2013,ado,99508,7.619,5.206,494,23,26,37,44,34,17,29810,ekiti,532,AK,ado,102669,17,29810,0,532,37,494,7.619,5.206
103778,Umuebulu Health Centre,2013,etche,85306-6000,4.915,7.129,NA,NA,NA,NA,NA,NA,NA,NA,rivers,963,AZ,etche,103778,NA,NA,NA,963,NA,NA,4.915,7.129
103787,Ward Model Primary Health Centre Igwuruta,2013,ikwerre,85021,4.976,7.022,NA,NA,NA,NA,NA,NA,NA,12000,rivers,66,AZ,ikwerre,103787,NA,12000,NA,66,NA,NA,4.976,7.022
103945,Health post,2013,abua,86004,4.806,6.483,NA,NA,NA,NA,NA,NA,NA,17211,rivers,401,AZ,abua,103945,NA,17211,NA,401,NA,NA,4.806,6.483
104151,Hagi Medical Centre,2013,ikwerre,85287,4.961,7.022,21770,4609,51,80,79,82,41,9861,rivers,46649,AZ,ikwerre,104151,41,9861,0,46649,80,21770,4.961,7.022
104179,Rivon Clinic,2013,obio,85721-0066,4.841,7.034,26329,4902,52,77,75,79,34,10391,rivers,38301,AZ,obio,104179,34,10391,0,38301,77,26329,4.841,7.034
104586,Modern primary health center Ibaa.,2013,emuoha,86301-3720,4.984,6.820,1689,316,53,79,78,82,33,31034,rivers,1705,AZ,emuoha,104586,33,31034,0,1705,79,1689,4.984,6.820
104665,Health post,2013,abua,85261-4430,4.885,6.453,NA,NA,NA,NA,NA,NA,NA,NA,rivers,30,AZ,abua,104665,NA,NA,NA,30,NA,NA,4.885,6.453
105297,Health post,2013,abua,86556,4.799,6.516,NA,NA,NA,NA,NA,NA,NA,805,rivers,1357,AZ,abua,105297,NA,805,NA,1357,NA,NA,4.799,6.516
105330,Tausayi Clinic & Maternity,2013,jos,86011-4132,9.789,8.860,33989,3076,50,91,89,93,14,9738,plateau,25767,AZ,jos,105330,14,9738,0,25767,91,33989,9.789,8.860
105367,Health post,2013,abua,85021,4.823,6.513,NA,NA,NA,NA,NA,NA,NA,NA,rivers,821,AZ,abua,105367,NA,NA,NA,821,NA,NA,4.823,6.513
105589,Maggol Clinic,2013,yenagoa,86301,4.930,6.270,399,34,21,73,70,74,17,29732,bayelsa,1033,AZ,yenagoa,105589,17,29732,0,1033,73,399,4.930,6.270
105899,Community Health Centre Ogu,2013,yenagoa,85032-7097,4.899,6.265,344,35,57,61,59,63,43,21832,bayelsa,526,AZ,yenagoa,105899,43,21832,0,526,61,344,4.899,6.265
106245,Primary health care centre Akaba,2013,yenagoa,72204,4.907,6.262,1443,19,82,53,52,54,83,7094,bayelsa,9730,AR,yenagoa,106245,83,7094,0,9730,53,1443,4.907,6.262
106263,Model PHC,2013,obio,72205-7199,4.850,6.991,NA,NA,NA,NA,NA,NA,NA,NA,rivers,2478,AR,obio,106263,NA,NA,NA,2478,NA,NA,4.850,6.991
106306,Obio Cottage Hospital,2013,obio,72202-6068,4.834,7.034,NA,NA,NA,NA,NA,NA,NA,8040,rivers,877,AR,obio,106306,NA,8040,NA,877,NA,NA,4.834,7.034
106342,Yakamata Clinic,2013,qua,72501,8.613,9.287,1309,15,95,59,65,56,23,23594,plateau,559,AR,qua,106342,23,23594,0,559,59,1309,8.613,9.287
106397,U.S.T. Med.Centre,2013,port,72701,4.795,6.977,18908,1172,91,59,58,59,39,7818,rivers,22641,AR,port,106397,39,7818,0,22641,59,18908,4.795,6.977
106412,Terzungwe Clinic,2013,buruku,71601,7.502,9.073,4094,34,94,28,29,27,49,5938,benue,2558,AR,buruku,106412,49,5938,0,2558,28,4094,7.502,9.073
106458,Social Clinic and Maternity,2013,buruku,72401,7.244,9.199,4838,22,95,76,75,76,43,7510,benue,12454,AR,buruku,106458,43,7510,0,12454,76,4838,7.244,9.199
106467,St. Luke's Hospital,2013,orlu,72801-2222,5.785,7.032,3847,26,84,85,85,85,51,5598,imo,9038,AR,orlu,106467,51,5598,0,9038,85,3847,5.785,7.032
106485,Mayfair Hospital Ibuzor Ihioma,2013,orlu,71656,5.806,7.012,NA,NA,NA,NA,NA,NA,NA,5793,imo,3130,AR,orlu,106485,NA,5793,NA,3130,NA,NA,5.806,7.012
106704,Ihioma Health Center (new and unstaffed),2013,orlu,72035-0001,5.809,6.996,3659,0,97,90,88,91,65,7595,imo,10231,AR,orlu,106704,65,7595,0,10231,90,3659,5.809,6.996
106713,Usoma Hospital and Maternity,2013,orlu,72034,5.772,6.992,540,4,85,54,54,54,41,13350,imo,742,AR,orlu,106713,41,13350,0,742,54,540,5.772,6.992
106810,PRIMARY HEALTH CARE CENTRE OBOGORO,2013,yenagoa,72450,4.919,6.255,NA,NA,NA,NA,NA,NA,NA,10900,bayelsa,147,AR,yenagoa,106810,NA,10900,NA,147,NA,NA,4.919,6.255
107044,Umuakagu Health Centre,2013,ehime,72143,5.637,7.316,2180,300,87,76,78,75,62,16170,imo,5595,AR,ehime,107044,62,16170,0,5595,76,2180,5.637,7.316
107071,Living water medical center,2013,oyigbo,71999-0001,4.857,7.161,3350,24,94,62,61,63,34,7580,rivers,3528,AR,oyigbo,107071,34,7580,0,3528,62,3350,4.857,7.161
107080,OPOROMA PHC,2013,southern,72032-3080,4.814,6.081,1928,198,82,80,77,84,28,37816,bayelsa,1457,AR,southern,107080,28,37816,0,1457,80,1928,4.814,6.081
107141,Obololi Health Post,2013,southern,72761,4.825,6.212,1143,92,82,70,74,67,38,22734,bayelsa,2097,AR,southern,107141,38,22734,0,2097,70,1143,4.825,6.212
107512,Mandela Klinik,2013,jos,71998-0001,9.726,8.798,1740,73,91,70,71,70,32,22370,plateau,1536,AR,jos,107512,32,22370,0,1536,70,1740,9.726,8.798
107558,PHC Giring,2013,jos,72830,9.880,8.887,1061,25,85,61,62,61,24,24350,plateau,598,AR,jos,107558,24,24350,0,598,61,1061,9.880,8.887
107600,PHC Vom Vet,2013,jos,72202-3799,9.729,8.791,NA,NA,NA,NA,NA,NA,NA,12564,plateau,624,AR,jos,107600,NA,12564,NA,624,NA,NA,9.729,8.791
107877,PHC Kuru,2013,jos,72476,9.721,8.843,531,9,94,68,66,70,43,13750,plateau,516,AR,jos,107877,43,13750,0,516,68,531,9.721,8.843
107983,Divine Wisdom hospital,2013,oyigbo,71753,4.876,7.123,2720,40,94,61,63,60,40,7466,rivers,3005,AR,oyigbo,107983,40,7466,0,3005,61,2720,4.876,7.123
108092,GodÃ¢Â€Â˜s care maternity,2013,oyigbo,72913-3649,4.851,7.195,3905,29,82,57,57,58,56,4528,rivers,6103,AR,oyigbo,108092,56,4528,0,6103,57,3905,4.851,7.195
108269,Christ the king hospital,2013,oyigbo,94612,4.872,7.130,NA,NA,NA,NA,NA,NA,NA,NA,rivers,141,CA,oyigbo,108269,NA,NA,NA,141,NA,NA,4.872,7.130
108861,Ave Maria clinic,2013,oyigbo,94704-3029,4.857,7.166,NA,NA,NA,NA,NA,NA,NA,NA,rivers,43,CA,oyigbo,108861,NA,NA,NA,43,NA,NA,4.857,7.166
108870,Amarachukwu marternity,2013,oyigbo,90027-1625,4.848,7.224,NA,NA,NA,NA,NA,NA,NA,NA,rivers,376,CA,oyigbo,108870,NA,NA,NA,376,NA,NA,4.848,7.224
109086,Tadam medical centre,2013,jos,94108-5834,9.877,8.873,NA,NA,NA,NA,NA,NA,NA,NA,plateau,52,CA,jos,109086,NA,NA,NA,52,NA,NA,9.877,8.873
109651,Sauki Clinic Kurgwi,2013,qua,91103,8.788,9.298,480,NA,NA,82,71,89,42,36480,plateau,2346,CA,qua,109651,42,36480,0,2346,82,480,8.788,9.298
109785,(Terngu) Atih Clinic and Maternity,2013,buruku,91702-7000,7.463,9.141,5329,1076,42,80,81,79,29,32256,benue,9677,CA,buruku,109785,29,32256,0,9677,80,5329,7.463,9.141
110060,PHC Kwalla,2013,qua,92801,8.912,9.286,131,NA,NA,83,83,84,71,7620,plateau,310,CA,qua,110060,71,7620,0,310,83,131,8.912,9.286
110097,Gbor Clinic and Maternity,2013,buruku,90639-0001,7.249,9.201,4816,764,40,73,69,75,26,32142,benue,5325,CA,buruku,110097,26,32142,0,5325,73,4816,7.249,9.201
110307,Dura Clinic and Maternity,2013,buruku,91311,7.119,9.267,NA,NA,NA,NA,NA,NA,NA,NA,benue,276,CA,buruku,110307,NA,NA,NA,276,NA,NA,7.119,9.267
110316,Cojaz clinic and Maternity,2013,buruku,94103,7.245,9.204,NA,NA,NA,NA,NA,NA,NA,NA,benue,1195,CA,buruku,110316,NA,NA,NA,1195,NA,NA,7.245,9.204
110361,Saakpor. Clinic and Maternity,2013,buruku,92504-3297,7.247,9.205,3853,815,44,79,79,79,32,28122,benue,6085,CA,buruku,110361,32,28122,0,6085,79,3853,7.247,9.205
110370,CRCN health post,2013,wukari,94107-2247,7.872,9.774,1405,NA,NA,82,78,83,20,40334,taraba,1887,CA,wukari,110370,20,40334,0,1887,82,1405,7.872,9.774
110398,Our Clinic & Maternity Doemak,2013,qua,94102-4978,8.948,9.242,NA,NA,NA,NA,NA,NA,NA,NA,plateau,1180,CA,qua,110398,NA,NA,NA,1180,NA,NA,8.948,9.242
110404,Nyankwala health centre,2013,wukari,91125,8.095,10.070,5535,220,43,11,8,17,43,41538,taraba,2246,CA,wukari,110404,43,41538,1,2246,11,5535,8.095,10.070
110413,Modern dispensary mahanga,2013,wukari,91360-2787,8.174,10.153,6920,452,42,48,47,49,16,35720,taraba,4201,CA,wukari,110413,16,35720,0,4201,48,6920,8.174,10.153
110422,PHC Kwande,2013,qua,93407,8.717,9.301,36941,3193,62,31,29,34,31,8724,plateau,17345,CA,qua,110422,31,8724,0,17345,31,36941,8.717,9.301
110468,Phc model horop,2013,bokkos,92131-1799,9.134,9.002,128,NA,NA,49,43,54,41,15816,plateau,3217,CA,bokkos,110468,41,15816,0,3217,49,128,9.134,9.002
110486,KYARMANYA DISPENSARY,2013,bindawa,93311-1099,12.699,7.957,6630,1200,24,66,64,68,29,6775,katsina,7564,CA,bindawa,110486,29,6775,0,7564,66,6630,12.699,7.957
110495,TUWARU DISPENSARY,2013,bindawa,95382-0299,12.734,7.902,5763,949,35,72,66,76,26,6491,katsina,7054,CA,bindawa,110495,26,6491,0,7054,72,5763,12.734,7.902
110510,GAIWAR KURMI DISPENSARY,2013,bindawa,92407-2397,12.633,7.898,12239,2313,37,58,56,59,34,6550,katsina,15748,CA,bindawa,110510,34,6550,0,15748,58,12239,12.633,7.898
110529,BARGAI DISPENSARY,2013,bindawa,91768,12.668,7.844,28143,2951,27,52,49,55,21,6350,katsina,18141,CA,bindawa,110529,21,6350,0,18141,52,28143,12.668,7.844
110538,NAHUCE DISPENSARY,2013,bindawa,95929-0150,12.773,7.887,17215,2439,36,72,70,73,22,6972,katsina,14838,CA,bindawa,110538,22,6972,0,14838,72,17215,12.773,7.887
110547,DAKWALE PRIMARY SCHOOL,2013,bindawa,90747-0005,12.789,7.890,14742,976,21,57,53,60,13,6100,katsina,9862,CA,bindawa,110547,13,6100,0,9862,57,14742,12.789,7.890
110556,BUTUNAWA DISPENSARY,2013,bindawa,93740,12.810,7.890,16242,2786,39,58,54,62,32,6287,katsina,18993,CA,bindawa,110556,32,6287,0,18993,58,16242,12.810,7.890
110565,MAZANYA KAMFANI DISPENSARY,2013,bindawa,92831-3599,12.774,7.848,38909,4293,34,46,46,46,25,6186,katsina,28947,CA,bindawa,110565,25,6186,0,28947,46,38909,12.774,7.848
110574,ZAKATA DISPENSARY,2013,bindawa,94542,12.811,7.800,12741,1434,32,69,65,71,18,6550,katsina,12957,CA,bindawa,110574,18,6550,0,12957,69,12741,12.811,7.800
110583,AGALAWA DISPENSARY,2013,bindawa,90840-0115,12.770,7.798,55019,4045,33,31,30,32,24,6240,katsina,28287,CA,bindawa,110583,24,6240,0,28287,31,55019,12.770,7.798
110592,LARABAWA DISPENSARY,2013,bindawa,90032,12.721,7.797,27321,2770,32,68,64,70,15,6344,katsina,17545,CA,bindawa,110592,15,6344,0,17545,68,27321,12.721,7.797
110608,SHIBDAWA PHC,2013,bindawa,91330,12.751,7.823,29339,3759,25,46,45,47,30,6525,katsina,28060,CA,bindawa,110608,30,6525,0,28060,46,29339,12.751,7.823
110617,GIMI DISPENSARY,2013,bindawa,95819-2694,12.722,7.830,19702,2885,34,70,67,71,22,6628,katsina,22234,CA,bindawa,110617,22,6628,0,22234,70,19702,12.722,7.830
110635,KIRYA DISPENSARY,2013,bindawa,94720,12.708,7.814,61717,3795,40,18,17,19,37,12864,katsina,38240,CA,bindawa,110635,37,12864,0,38240,18,61717,12.708,7.814
110644,KUMA DISPENSARY,2013,bindawa,95616-8678,12.677,7.869,49820,4876,45,45,41,48,23,13895,katsina,32172,CA,bindawa,110644,23,13895,0,32172,45,49820,12.677,7.869
110653,YANJALO DISPENSARY,2013,bindawa,92697,12.689,7.866,56515,4848,41,42,40,44,21,13149,katsina,29232,CA,bindawa,110653,21,13149,0,29232,42,56515,12.689,7.866
110662,JIBAWA DISPENSARY,2013,bindawa,90095-1405,12.689,7.853,72676,5166,41,22,21,23,35,12697,katsina,41071,CA,bindawa,110662,35,12697,0,41071,22,72676,12.689,7.853
110671,RUGAR BADE DISPENSARY,2013,bindawa,92521,12.702,7.858,30391,3909,40,62,63,62,21,12960,katsina,20647,CA,bindawa,110671,21,12960,0,20647,62,30391,12.702,7.858
110680,BAÃ¢Â€Â˜AWA DISPENSARY,2013,bindawa,92093,12.654,7.947,60832,4274,39,38,38,37,20,13271,katsina,30027,CA,bindawa,110680,20,13271,0,30027,38,60832,12.654,7.947
110699,DANMARKE DISPENSARY,2013,bindawa,94143-0244,12.613,7.990,NA,NA,NA,NA,NA,NA,NA,NA,katsina,3081,CA,bindawa,110699,NA,NA,NA,3081,NA,NA,12.613,7.990
110705,DAYE DISPENSARY,2013,bindawa,93106,12.613,7.962,55258,4425,47,44,44,45,19,13746,katsina,22806,CA,bindawa,110705,19,13746,0,22806,44,55258,12.613,7.962
110714,RINJIN BAUSHI DISPENSARY,2013,bindawa,95064-1011,12.582,7.971,33137,3539,43,60,55,64,19,13397,katsina,17751,CA,bindawa,110714,19,13397,0,17751,60,33137,12.582,7.971
110778,GWANZA DISPENSARY,2013,bindawa,94303,12.577,7.910,NA,NA,NA,NA,NA,NA,NA,NA,katsina,401,CA,bindawa,110778,NA,NA,NA,401,NA,NA,12.577,7.910
110918,PRIMARY HEALTH CENTRE TAMA,2013,bindawa,93703-3599,12.607,7.913,12,NA,NA,83,83,83,60,8275,katsina,22,CA,bindawa,110918,60,8275,0,22,83,12,12.607,7.913
110945,MAGAMI DISPENSARY,2013,bindawa,92111-1009,12.620,7.868,NA,NA,NA,NA,NA,NA,NA,18480,katsina,1577,CA,bindawa,110945,NA,18480,NA,1577,NA,NA,12.620,7.868
111081,MAKERA DISPENSARY,2013,bindawa,91355-2397,12.654,7.919,1230,NA,NA,30,30,30,47,40536,katsina,1427,CA,bindawa,111081,47,40536,0,1427,30,1230,12.654,7.919
111188,BINDAWA DISPENSARY,2013,bindawa,94590,12.670,7.804,893,171,46,75,77,66,29,6536,katsina,1209,CA,bindawa,111188,29,6536,0,1209,75,893,12.670,7.804
111391,ZANGO DISPENSARY,2013,bindawa,92101-3046,12.646,7.812,NA,NA,NA,NA,NA,NA,NA,NA,katsina,743,CA,bindawa,111391,NA,NA,NA,743,NA,NA,12.646,7.812
111948,TAFASHIYA DISPENSARY,2013,bindawa,92866,12.647,7.799,11750,1007,51,45,45,45,24,43573,katsina,7716,CA,bindawa,111948,24,43573,0,7716,45,11750,12.647,7.799
111966,Mini Health Center,2013,port,90059,4.805,6.990,9,4,0,89,100,86,63,11956,rivers,665,CA,port,111966,63,11956,0,665,89,9,4.805,6.990
112075,General hospital wukari,2013,wukari,92612-3203,7.873,9.767,2055,310,38,91,89,92,20,29630,taraba,3773,CA,wukari,112075,20,29630,0,3773,91,2055,7.873,9.767
112084,Faith maternity clinic,2013,wukari,92019-1157,7.870,9.767,561,67,42,49,46,52,36,25888,taraba,783,CA,wukari,112084,36,25888,0,783,49,561,7.870,9.767
112127,Gindin doruwa MCH center,2013,wukari,94709-1211,8.102,10.068,NA,NA,NA,NA,NA,NA,NA,NA,taraba,57,CA,wukari,112127,NA,NA,NA,57,NA,NA,8.102,10.068
112251,PHC Kinkiso,2013,wukari,91711-6160,7.882,9.795,NA,NA,NA,NA,NA,NA,NA,NA,taraba,1191,CA,wukari,112251,NA,NA,NA,1191,NA,NA,7.882,9.795
112260,Olimar clinic,2013,owerri,91711-6400,5.488,7.038,5518,196,42,12,12,11,52,45625,imo,1313,CA,owerri,112260,52,45625,1,1313,12,5518,5.488,7.038
112446,Lavinda Eye Specialist Hospital and Laser Centre,2013,port,92123-1506,4.794,7.043,82,NA,NA,100,100,100,73,20200,rivers,1212,CA,port,112446,73,20200,0,1212,100,82,4.794,7.043
112525,Goje MCH,2013,gashaka,91766-1854,7.379,11.244,NA,NA,NA,NA,NA,NA,NA,NA,taraba,3555,CA,gashaka,112525,NA,NA,NA,3555,NA,NA,7.379,11.244
112570,Alfa Maternity,2013,gashaka,91356-1411,7.509,11.365,250,NA,NA,55,58,51,46,18804,taraba,368,CA,gashaka,112570,46,18804,0,368,55,250,7.509,11.365
113537,Sabon Gari MCH,2013,gashaka,95525-0816,7.504,11.361,3,NA,NA,67,100,50,50,12750,taraba,92,CA,gashaka,113537,50,12750,0,92,67,3,7.504,11.361
113698,CRCN Comprehensive Clinic,2013,gashaka,94901-2298,7.498,11.349,2322,265,38,78,81,76,17,40600,taraba,1928,CA,gashaka,113698,17,40600,0,1928,78,2322,7.498,11.349
113704,Seiyefa Clinic,2013,port,94708-1816,4.755,7.039,NA,NA,NA,NA,NA,NA,NA,NA,rivers,69,CA,port,113704,NA,NA,NA,69,NA,NA,4.755,7.039
114549,ST.PETER CLINIC,2013,ardo,93105-3538,8.891,11.283,NA,NA,NA,NA,NA,NA,NA,NA,taraba,954,CA,ardo,114549,NA,NA,NA,954,NA,NA,8.891,11.283
114734,Ngaebije Dispensary,2013,ardo,94709-1208,8.844,11.009,NA,NA,NA,NA,NA,NA,NA,NA,taraba,31,CA,ardo,114734,NA,NA,NA,31,NA,NA,8.844,11.009
114813,Sunkani Town Clinic,2013,ardo,93702-4709,8.698,11.262,705,208,39,78,77,79,38,25716,taraba,3083,CA,ardo,114813,38,25716,0,3083,78,705,8.698,11.262
114840,Lafiya Clinic,2013,ardo,91182,8.911,11.319,NA,NA,NA,NA,NA,NA,NA,NA,taraba,2308,CA,ardo,114840,NA,NA,NA,2308,NA,NA,8.911,11.319
115083,Comprehensive Health Centre Opokuma South,2013,kolokuma,94105-2968,5.081,6.255,0,NA,NA,NA,NA,NA,NA,14400,bayelsa,2650,CA,kolokuma,115083,NA,14400,NA,2650,NA,0,5.081,6.255
115214,"Comprehensive Health Centre, Odi",2013,kolokuma,94709,5.173,6.300,NA,NA,NA,NA,NA,NA,NA,NA,bayelsa,242,CA,kolokuma,115214,NA,NA,NA,242,NA,NA,5.173,6.300
115409,"General Hospital, Odi",2013,kolokuma,91711,5.173,6.296,3539,193,41,18,13,32,34,46509,bayelsa,788,CA,kolokuma,115409,34,46509,0,788,18,3539,5.173,6.296
115728,Cottage Hospital Ayama,2013,ekeremor,94619-1699,4.977,5.741,561,84,40,57,50,61,27,33020,bayelsa,1167,CA,ekeremor,115728,27,33020,0,1167,57,561,4.977,5.741
115755,PHC Ayamassa,2013,ekeremor,95521-8299,5.124,5.918,9978,1148,37,80,78,82,15,7144,bayelsa,7353,CA,ekeremor,115755,15,7144,0,7353,80,9978,5.124,5.918
115773,PHC Agge,2013,ekeremor,95207-3896,5.129,5.391,NA,NA,NA,NA,NA,NA,NA,11277,bayelsa,1384,CA,ekeremor,115773,NA,11277,NA,1384,NA,NA,5.129,5.391
